config_id,notes,status,error_type,error_message,sample_size,use_one_hot_labels,validation_accuracy,validation_roc_auc,test_accuracy,test_roc_auc,training_time_seconds,inference_time_per_sample
E6,E anchor plus n_tree_iters=1 using one-hot labels workaround,success,,,10000,True,0.7205,0.8045499527238116,0.752,0.820096525278856,8.501947099999597,3.105165000033594e-05
E4,Smaller bandwidth: 5,success,,,10000,False,0.7205,0.8027098018597749,0.7455,0.8174163169488021,4.720695999998497,3.5384399999202284e-05
E0,Anchor E baseline,success,,,10000,False,0.721,0.8020255826619694,0.7445,0.817459343002652,4.916881799999828,2.6786499999616353e-05
E5,Larger bandwidth: 20,success,,,10000,False,0.721,0.8018482313668328,0.743,0.8182757886098492,4.736887900000511,3.152480000062496e-05
E2,Smaller leaves: max_leaf_size=2000,success,,,10000,False,0.73,0.8015386536623044,0.7445,0.816524313393381,4.915740700000242,2.8290149999520507e-05
E1,More trees: n_trees=3,success,,,10000,False,0.719,0.7998417480751088,0.74,0.8136845938392988,7.293491200000062,4.04505499991501e-05
E3,Larger leaves: max_leaf_size=5000,success,,,10000,False,0.714,0.7953717608465009,0.7465,0.8174656394983372,6.104802800000471,3.246200000012323e-05
